Service Life,Lower Limit,Upper Limit,Passed Years
45,0.794,0.841,4
45,0.75,0.794,5
45,0,0.75,6
46,0.946,1,1
46,0.895,0.946,2
46,0.847,0.895,3
46,0.801,0.847,4
46,0.758,0.801,5
46,0,0.758,6
47,0.947,1,1
47,0.897,0.947,2
47,0.849,0.897,3
47,0.804,0.849,4
47,0.762,0.804,5
47,0,0.762,6
48,0.948,1,1
48,0.899,0.948,2
48,0.852,0.899,3
48,0.808,0.852,4
48,0.766,0.808,5
48,0,0.766,6
49,0.949,1,1
49,0.901,0.949,2
49,0.855,0.901,3
49,0.811,0.855,4
49,0.77,0.811,5
49,0,0.77,6
50,0.95,1,1
50,0.903,0.95,2
50,0.857,0.903,3
50,0.815,0.857,4
50,0.774,0.815,5
50,0,0.774,6
51,0.951,1,1
51,0.904,0.951,2
51,0.86,0.904,3
51,0.818,0.86,4
51,0.778,0.818,5
51,0,0.778,6
52,0.952,1,1
52,0.906,0.952,2
52,0.863,0.906,3
52,0.821,0.863,4
52,0.782,0.821,5
52,0,0.782,6
53,0.953,1,1
53,0.908,0.953,2
53,0.866,0.908,3
53,0.825,0.866,4
53,0.786,0.825,5
53,0,0.786,6
54,0.954,1,1
54,0.91,0.954,2
54,0.868,0.91,3
54,0.828,0.868,4
54,0.79,0.828,5
54,0,0.79,6
55,0.955,1,1
55,0.912,0.955,2
55,0.871,0.912,3
55,0.832,0.871,4
55,0.794,0.832,5
55,0,0.794,6
56,0.955,1,1
56,0.912,0.955,2
56,0.871,0.912,3
56,0.832,0.871,4
56,0.794,0.832,5
56,0,0.794,6
57,0.956,1,1
57,0.914,0.956,2
57,0.874,0.914,3
57,0.835,0.874,4
57,0.799,0.835,5
57,0,0.799,6
58,0.957,1,1
58,0.916,0.957,2
58,0.876,0.916,3
58,0.839,0.876,4
58,0.803,0.839,5
58,0,0.803,6
59,0.958,1,1
59,0.918,0.958,2
59,0.879,0.918,3
59,0.842,0.879,4
59,0.807,0.842,5
59,0,0.807,6
60,0.958,1,1
60,0.918,0.958,2
60,0.879,0.918,3
60,0.842,0.879,4
60,0.807,0.842,5
60,0,0.807,6
61,0.959,1,1
61,0.92,0.959,2
61,0.882,0.92,3
61,0.846,0.882,4
61,0.811,0.846,5
61,0,0.811,6
62,0.96,1,1
62,0.922,0.96,2
62,0.885,0.922,3
62,0.849,0.885,4
62,0.815,0.849,5
62,0,0.815,6
63,0.96,1,1
63,0.922,0.96,2
63,0.885,0.922,3
63,0.849,0.885,4
63,0.815,0.849,5
63,0,0.815,6
64,0.961,1,1
64,0.924,0.961,2
64,0.888,0.924,3
64,0.853,0.888,4
64,0.82,0.853,5
64,0,0.82,6
65,0.962,1,1
65,0.925,0.962,2
65,0.89,0.925,3
65,0.856,0.89,4
65,0.824,0.856,5
65,0,0.824,6
66,0.962,1,1
66,0.925,0.962,2
66,0.89,0.925,3
66,0.856,0.89,4
66,0.824,0.856,5
66,0,0.824,6
67,0.963,1,1
67,0.927,0.963,2
67,0.893,0.927,3
67,0.86,0.893,4
67,0.828,0.86,5
67,0,0.828,6
68,0.963,1,1
68,0.927,0.963,2
68,0.893,0.927,3
68,0.86,0.893,4
68,0.828,0.86,5
68,0,0.828,6
69,0.964,1,1
69,0.929,0.964,2
69,0.896,0.929,3
69,0.864,0.896,4
69,0.833,0.864,5
69,0,0.833,6
70,0.964,1,1
70,0.929,0.964,2
70,0.896,0.929,3
70,0.864,0.896,4
70,0.833,0.864,5
70,0,0.833,6
71,0.965,1,1
71,0.931,0.965,2
71,0.899,0.931,3
71,0.867,0.899,4
71,0.837,0.867,5
71,0,0.837,6
72,0.965,1,1
72,0.931,0.965,2
72,0.899,0.931,3
72,0.867,0.899,4
72,0.837,0.867,5
72,0,0.837,6
73,0.966,1,1
73,0.933,0.966,2
73,0.901,0.933,3
73,0.871,0.901,4
73,0.841,0.871,5
73,0,0.841,6
74,0.966,1,1
74,0.933,0.966,2
74,0.901,0.933,3
74,0.871,0.901,4
74,0.841,0.871,5
74,0,0.841,6
75,0.967,1,1
75,0.935,0.967,2
75,0.904,0.935,3
75,0.874,0.904,4
75,0.846,0.874,5
75,0,0.846,6
76,0.967,1,1
76,0.935,0.967,2
76,0.904,0.935,3
76,0.874,0.904,4
76,0.846,0.874,5
76,0,0.846,6
77,0.968,1,1
77,0.937,0.968,2
77,0.907,0.937,3
77,0.878,0.907,4
77,0.85,0.878,5
77,0,0.85,6
78,0.968,1,1
78,0.937,0.968,2
78,0.907,0.937,3
78,0.878,0.907,4
78,0.85,0.878,5
78,0,0.85,6
79,0.968,1,1
79,0.937,0.968,2
79,0.907,0.937,3
79,0.878,0.907,4
79,0.85,0.878,5
79,0,0.85,6
80,0.969,1,1
80,0.939,0.969,2
80,0.91,0.939,3
80,0.882,0.91,4
80,0.854,0.882,5
80,0,0.854,6
81,0.969,1,1
81,0.939,0.969,2
81,0.91,0.939,3
81,0.882,0.91,4
81,0.854,0.882,5
81,0,0.854,6
82,0.97,1,1
82,0.941,0.97,2
82,0.913,0.941,3
82,0.885,0.913,4
82,0.859,0.885,5
82,0,0.859,6
83,0.97,1,1
83,0.941,0.97,2
83,0.913,0.941,3
83,0.885,0.913,4
83,0.859,0.885,5
83,0,0.859,6
84,0.97,1,1
84,0.941,0.97,2
84,0.913,0.941,3
84,0.885,0.913,4
84,0.859,0.885,5
84,0,0.859,6
85,0.971,1,1
85,0.943,0.971,2
85,0.915,0.943,3
85,0.889,0.915,4
85,0.863,0.889,5
85,0,0.863,6
86,0.971,1,1
86,0.943,0.971,2
86,0.915,0.943,3
86,0.889,0.915,4
86,0.863,0.889,5
86,0,0.863,6
87,0.971,1,1
87,0.943,0.971,2
87,0.915,0.943,3
87,0.889,0.915,4
87,0.863,0.889,5
87,0,0.863,6
88,0.972,1,1
88,0.945,0.972,2
88,0.918,0.945,3
88,0.893,0.918,4
88,0.868,0.893,5
88,0,0.868,6
89,0.972,1,1
89,0.945,0.972,2
89,0.918,0.945,3
89,0.893,0.918,4
89,0.868,0.893,5
89,0,0.868,6
90,0.972,1,1
90,0.945,0.972,2
90,0.918,0.945,3
90,0.893,0.918,4
90,0.868,0.893,5
90,0,0.868,6
91,0.973,1,1
91,0.947,0.973,2
91,0.921,0.947,3
91,0.896,0.921,4
91,0.872,0.896,5
91,0,0.872,6
92,0.973,1,1
92,0.947,0.973,2
92,0.921,0.947,3
92,0.896,0.921,4
92,0.872,0.896,5
92,0,0.872,6
93,0.973,1,1
93,0.947,0.973,2
93,0.921,0.947,3
93,0.896,0.921,4
93,0.872,0.896,5
93,0,0.872,6
94,0.973,1,1
94,0.947,0.973,2
94,0.921,0.947,3
94,0.896,0.921,4
94,0.872,0.896,5
94,0,0.872,6
95,0.974,1,1
95,0.949,0.974,2
95,0.924,0.949,3
95,0.9,0.924,4
95,0.877,0.9,5
95,0,0.877,6
96,0.974,1,1
96,0.949,0.974,2
96,0.924,0.949,3
96,0.9,0.924,4
96,0.877,0.9,5
96,0,0.877,6
97,0.974,1,1
97,0.949,0.974,2
97,0.924,0.949,3
97,0.9,0.924,4
97,0.877,0.9,5
97,0,0.877,6
98,0.974,1,1
98,0.949,0.974,2
98,0.924,0.949,3
98,0.9,0.924,4
98,0.877,0.9,5
98,0,0.877,6
99,0.975,1,1
99,0.951,0.975,2
99,0.927,0.951,3
99,0.904,0.927,4
99,0.881,0.904,5
99,0,0.881,6
100,0.975,1,1
100,0.951,0.975,2
100,0.927,0.951,3
100,0.904,0.927,4
100,0.881,0.904,5
100,0,0.881,6
