Service Life,Lower Limit,Upper Limit,Passed Years
13,0.07,0.084,15
13,0.059,0.07,16
13,0.05,0.059,17
13,0.04,0.05,18
13,0.03,0.04,19
13,0.02,0.03,20
13,0.01,0.02,21
13,0,0.01,22
14,0.848,1,1
14,0.72,0.848,2
14,0.611,0.72,3
14,0.518,0.611,4
14,0.439,0.518,5
14,0.373,0.439,6
14,0.316,0.373,7
14,0.268,0.316,8
14,0.228,0.268,9
14,0.193,0.228,10
14,0.164,0.193,11
14,0.139,0.164,12
14,0.118,0.139,13
14,0.1,0.118,14
14,0.085,0.1,15
14,0.072,0.085,16
14,0.061,0.072,17
14,0.052,0.061,18
14,0.05,0.052,19
14,0.04,0.05,20
14,0.03,0.04,21
14,0.02,0.03,22
14,0.01,0.02,23
14,0,0.01,24
15,0.858,1,1
15,0.736,0.858,2
15,0.631,0.736,3
15,0.541,0.631,4
15,0.464,0.541,5
15,0.398,0.464,6
15,0.341,0.398,7
15,0.293,0.341,8
15,0.251,0.293,9
15,0.215,0.251,10
15,0.185,0.215,11
15,0.158,0.185,12
15,0.136,0.158,13
15,0.117,0.136,14
15,0.1,0.117,15
15,0.086,0.1,16
15,0.074,0.086,17
15,0.063,0.074,18
15,0.054,0.063,19
15,0.05,0.054,20
15,0.04,0.05,21
15,0.03,0.04,22
15,0.02,0.03,23
15,0.01,0.02,24
15,0,0.01,25
16,0.866,1,1
16,0.75,0.866,2
16,0.649,0.75,3
16,0.562,0.649,4
16,0.487,0.562,5
16,0.422,0.487,6
16,0.365,0.422,7
16,0.316,0.365,8
16,0.274,0.316,9
16,0.237,0.274,10
16,0.205,0.237,11
16,0.178,0.205,12
16,0.154,0.178,13
16,0.133,0.154,14
16,0.115,0.133,15
16,0.1,0.115,16
16,0.087,0.1,17
16,0.075,0.087,18
16,0.065,0.075,19
16,0.056,0.065,20
16,0.05,0.056,21
16,0.04,0.05,22
16,0.03,0.04,23
16,0.02,0.03,24
16,0.01,0.02,25
16,0,0.01,26
17,0.873,1,1
17,0.763,0.873,2
17,0.666,0.763,3
17,0.582,0.666,4
17,0.508,0.582,5
17,0.444,0.508,6
17,0.387,0.444,7
17,0.338,0.387,8
17,0.296,0.338,9
17,0.258,0.296,10
17,0.225,0.258,11
17,0.197,0.225,12
17,0.172,0.197,13
17,0.15,0.172,14
17,0.131,0.15,15
17,0.115,0.131,16
17,0.1,0.115,17
17,0.087,0.1,18
17,0.076,0.087,19
17,0.067,0.076,20
17,0.058,0.067,21
17,0.051,0.058,22
17,0.05,0.051,23
17,0.04,0.05,24
17,0.03,0.04,25
17,0.02,0.03,26
17,0.01,0.02,27
17,0,0.01,28
18,0.88,1,1
18,0.774,0.88,2
18,0.681,0.774,3
18,0.599,0.681,4
18,0.527,0.599,5
18,0.464,0.527,6
18,0.408,0.464,7
18,0.359,0.408,8
18,0.316,0.359,9
18,0.278,0.316,10
18,0.245,0.278,11
18,0.215,0.245,12
18,0.19,0.215,13
18,0.167,0.19,14
18,0.147,0.167,15
18,0.129,0.147,16
18,0.114,0.129,17
18,0.1,0.114,18
18,0.088,0.1,19
18,0.077,0.088,20
18,0.068,0.077,21
18,0.06,0.068,22
18,0.053,0.06,23
18,0.05,0.053,24
18,0.04,0.05,25
18,0.03,0.04,26
18,0.02,0.03,27
18,0.01,0.02,28
18,0,0.01,29
19,0.886,1,1
19,0.785,0.886,2
19,0.695,0.785,3
19,0.616,0.695,4
19,0.546,0.616,5
19,0.483,0.546,6
19,0.428,0.483,7
19,0.379,0.428,8
19,0.336,0.379,9
19,0.298,0.336,10
19,0.264,0.298,11
19,0.234,0.264,12
19,0.207,0.234,13
19,0.183,0.207,14
19,0.162,0.183,15
19,0.144,0.162,16
19,0.127,0.144,17
19,0.113,0.127,18
19,0.1,0.113,19
19,0.089,0.1,20
19,0.078,0.089,21
19,0.07,0.078,22
19,0.062,0.07,23
19,0.055,0.062,24
19,0.05,0.055,25
19,0.04,0.05,26
19,0.03,0.04,27
19,0.02,0.03,28
19,0.01,0.02,29
19,0,0.01,30
20,0.891,1,1
20,0.794,0.891,2
20,0.708,0.794,3
20,0.631,0.708,4
20,0.562,0.631,5
20,0.501,0.562,6
20,0.447,0.501,7
20,0.398,0.447,8
20,0.355,0.398,9
20,0.316,0.355,10
20,0.282,0.316,11
20,0.251,0.282,12
20,0.224,0.251,13
20,0.2,0.224,14
20,0.178,0.2,15
20,0.158,0.178,16
20,0.141,0.158,17
20,0.126,0.141,18
20,0.112,0.126,19
20,0.1,0.112,20
20,0.089,0.1,21
20,0.079,0.089,22
20,0.071,0.079,23
20,0.063,0.071,24
20,0.056,0.063,25
20,0.0501,0.056,26
20,0.05,0.0501,27
20,0.04,0.05,28
20,0.03,0.04,29
20,0.02,0.03,30
20,0.01,0.02,31
20,0,0.01,32
21,0.896,1,1
21,0.803,0.896,2
21,0.72,0.803,3
21,0.645,0.72,4
21,0.578,0.645,5
21,0.518,0.578,6
21,0.464,0.518,7
21,0.416,0.464,8
21,0.373,0.416,9
21,0.334,0.373,10
21,0.299,0.334,11
21,0.268,0.299,12
21,0.24,0.268,13
21,0.215,0.24,14
21,0.193,0.215,15
21,0.173,0.193,16
21,0.155,0.173,17
21,0.139,0.155,18
21,0.125,0.139,19
21,0.112,0.125,20
21,0.1,0.112,21
21,0.09,0.1,22
21,0.08,0.09,23
21,0.072,0.08,24
21,0.064,0.072,25
21,0.058,0.064,26
21,0.052,0.058,27
21,0.05,0.052,28
21,0.04,0.05,29
21,0.03,0.04,30
21,0.02,0.03,31
21,0.01,0.02,32
21,0,0.01,33
22,0.901,1,1
22,0.811,0.901,2
22,0.731,0.811,3
22,0.658,0.731,4
22,0.593,0.658,5
22,0.534,0.593,6
22,0.481,0.534,7
22,0.433,0.481,8
22,0.39,0.433,9
22,0.351,0.39,10
22,0.316,0.351,11
22,0.285,0.316,12
22,0.257,0.285,13
22,0.231,0.257,14
22,0.208,0.231,15
22,0.187,0.208,16
22,0.169,0.187,17
22,0.152,0.169,18
22,0.137,0.152,19
22,0.123,0.137,20
22,0.111,0.123,21
22,0.1,0.111,22
22,0.09,0.1,23
22,0.081,0.09,24
22,0.073,0.081,25
22,0.066,0.073,26
22,0.059,0.066,27
22,0.053,0.059,28
22,0.05,0.053,29
22,0.04,0.05,30
22,0.03,0.04,31
22,0.02,0.03,32
22,0.01,0.02,33
22,0,0.01,34
23,0.905,1,1
23,0.819,0.905,2
23,0.741,0.819,3
23,0.67,0.741,4
23,0.606,0.67,5
23,0.548,0.606,6
23,0.496,0.548,7
23,0.449,0.496,8
23,0.406,0.449,9
23,0.367,0.406,10
23,0.332,0.367,11
23,0.301,0.332,12
23,0.272,0.301,13
23,0.246,0.272,14
23,0.223,0.246,15
23,0.202,0.223,16
23,0.182,0.202,17
23,0.165,0.182,18
23,0.149,0.165,19
23,0.135,0.149,20
23,0.122,0.135,21
23,0.111,0.122,22
23,0.1,0.111,23
23,0.09,0.1,24
23,0.082,0.09,25
23,0.074,0.082,26
23,0.067,0.074,27
23,0.061,0.067,28
23,0.055,0.061,29
23,0.05,0.055,30
23,0.04,0.05,31
23,0.03,0.04,32
23,0.02,0.03,33
23,0.01,0.02,34
23,0,0.01,35
24,0.909,1,1
24,0.825,0.909,2
24,0.75,0.825,3
24,0.681,0.75,4
24,0.619,0.681,5
24,0.562,0.619,6
24,0.511,0.562,7
24,0.464,0.511,8
24,0.422,0.464,9
24,0.383,0.422,10
24,0.348,0.383,11
24,0.316,0.348,12
24,0.287,0.316,13
24,0.261,0.287,14
24,0.237,0.261,15
24,0.215,0.237,16
24,0.196,0.215,17
24,0.178,0.196,18
24,0.162,0.178,19
24,0.147,0.162,20
24,0.133,0.147,21
24,0.121,0.133,22
24,0.11,0.121,23
24,0.1,0.11,24
24,0.091,0.1,25
24,0.083,0.091,26
24,0.075,0.083,27
24,0.068,0.075,28
24,0.062,0.068,29
24,0.056,0.062,30
24,0.051,0.056,31
24,0.05,0.051,32
24,0.04,0.05,33
24,0.03,0.04,34
24,0.02,0.03,35
24,0.01,0.02,36
24,0,0.01,37
25,0.912,1,1
25,0.832,0.912,2
25,0.759,0.832,3
25,0.692,0.759,4
25,0.631,0.692,5
25,0.575,0.631,6
25,0.525,0.575,7
25,0.479,0.525,8
25,0.437,0.479,9
25,0.398,0.437,10
25,0.363,0.398,11
25,0.331,0.363,12
25,0.302,0.331,13
25,0.275,0.302,14
25,0.251,0.275,15
25,0.229,0.251,16
25,0.209,0.229,17
25,0.191,0.209,18
25,0.174,0.191,19
25,0.158,0.174,20
25,0.145,0.158,21
25,0.132,0.145,22
25,0.12,0.132,23
25,0.11,0.12,24
25,0.1,0.11,25
25,0.091,0.1,26
25,0.083,0.091,27
25,0.076,0.083,28
25,0.069,0.076,29
25,0.063,0.069,30
25,0.058,0.063,31
25,0.052,0.058,32
25,0.05,0.052,33
25,0.04,0.05,34
25,0.03,0.04,35
25,0.02,0.03,36
25,0.01,0.02,37
25,0,0.01,38
26,0.915,1,1
26,0.838,0.915,2
26,0.767,0.838,3
26,0.702,0.767,4
26,0.642,0.702,5
26,0.588,0.642,6
26,0.538,0.588,7
26,0.492,0.538,8
26,0.451,0.492,9
26,0.412,0.451,10
26,0.378,0.412,11
26,0.346,0.378,12
26,0.316,0.346,13
26,0.289,0.316,14
26,0.265,0.289,15
26,0.242,0.265,16
26,0.222,0.242,17
26,0.203,0.222,18
26,0.186,0.203,19
26,0.17,0.186,20
26,0.156,0.17,21
26,0.143,0.156,22
26,0.13,0.143,23
26,0.119,0.13,24
26,0.109,0.119,25
26,0.1,0.109,26
26,0.092,0.1,27
26,0.084,0.092,28
26,0.077,0.084,29
26,0.07,0.077,30
26,0.064,0.07,31
26,0.059,0.064,32
26,0.054,0.059,33
26,0.05,0.054,34
26,0.04,0.05,35
26,0.03,0.04,36
26,0.02,0.03,37
26,0.01,0.02,38
26,0,0.01,39
27,0.918,1,1
27,0.843,0.918,2
27,0.774,0.843,3
27,0.711,0.774,4
27,0.653,0.711,5
27,0.599,0.653,6
27,0.55,0.599,7
27,0.505,0.55,8
27,0.464,0.505,9
27,0.426,0.464,10
27,0.391,0.426,11
27,0.359,0.391,12
27,0.33,0.359,13
27,0.303,0.33,14
27,0.278,0.303,15
27,0.255,0.278,16
27,0.235,0.255,17
27,0.215,0.235,18
27,0.198,0.215,19
27,0.182,0.198,20
27,0.167,0.182,21
27,0.153,0.167,22
27,0.141,0.153,23
27,0.129,0.141,24
27,0.119,0.129,25
27,0.109,0.119,26
27,0.1,0.109,27
27,0.092,0.1,28
27,0.084,0.092,29
27,0.077,0.084,30
27,0.071,0.077,31
27,0.065,0.071,32
27,0.06,0.065,33
27,0.055,0.06,34
27,0.051,0.055,35
27,0.05,0.051,36
27,0.04,0.05,37
27,0.03,0.04,38
27,0.02,0.03,39
27,0.01,0.02,40
27,0,0.01,41
28,0.921,1,1
28,0.848,0.921,2
28,0.781,0.848,3
28,0.72,0.781,4
28,0.663,0.72,5
28,0.611,0.663,6
28,0.562,0.611,7
28,0.518,0.562,8
28,0.477,0.518,9
28,0.439,0.477,10
28,0.405,0.439,11
28,0.373,0.405,12
28,0.343,0.373,13
28,0.316,0.343,14
28,0.291,0.316,15
28,0.268,0.291,16
28,0.247,0.268,17
28,0.228,0.247,18
28,0.21,0.228,19
28,0.193,0.21,20
28,0.178,0.193,21
28,0.164,0.178,22
28,0.151,0.164,23
28,0.139,0.151,24
28,0.128,0.139,25
28,0.118,0.128,26
28,0.109,0.118,27
28,0.1,0.109,28
28,0.092,0.1,29
28,0.085,0.092,30
28,0.078,0.085,31
28,0.072,0.078,32
28,0.066,0.072,33
28,0.061,0.066,34
28,0.056,0.061,35
28,0.052,0.056,36
28,0.05,0.052,37
28,0.04,0.05,38
28,0.03,0.04,39
28,0.02,0.03,40
28,0.01,0.02,41
28,0,0.01,42
29,0.924,1,1
29,0.853,0.924,2
29,0.788,0.853,3
29,0.728,0.788,4
29,0.672,0.728,5
29,0.621,0.672,6
29,0.574,0.621,7
29,0.53,0.574,8
29,0.489,0.53,9
29,0.452,0.489,10
29,0.418,0.452,11
29,0.386,0.418,12
29,0.356,0.386,13
29,0.329,0.356,14
29,0.304,0.329,15
29,0.281,0.304,16
29,0.259,0.281,17
29,0.239,0.259,18
29,0.221,0.239,19
29,0.204,0.221,20
29,0.189,0.204,21
29,0.174,0.189,22
29,0.161,0.174,23
29,0.149,0.161,24
29,0.137,0.149,25
29,0.127,0.137,26
29,0.117,0.127,27
29,0.108,0.117,28
29,0.1,0.108,29
29,0.092,0.1,30
29,0.085,0.092,31
29,0.079,0.085,32
29,0.073,0.079,33
29,0.067,0.073,34
29,0.062,0.067,35
29,0.057,0.062,36
29,0.053,0.057,37
29,0.05,0.053,38
29,0.04,0.05,39
29,0.03,0.04,40
29,0.02,0.03,41
29,0.01,0.02,42
29,0,0.01,43
30,0.926,1,1
30,0.858,0.926,2
30,0.794,0.858,3
30,0.736,0.794,4
30,0.681,0.736,5
30,0.631,0.681,6
30,0.584,0.631,7
30,0.541,0.584,8
30,0.501,0.541,9
30,0.464,0.501,10
30,0.43,0.464,11
30,0.398,0.43,12
30,0.369,0.398,13
30,0.341,0.369,14
30,0.316,0.341,15
30,0.293,0.316,16
30,0.271,0.293,17
30,0.251,0.271,18
30,0.233,0.251,19
30,0.215,0.233,20
30,0.2,0.215,21
30,0.185,0.2,22
30,0.171,0.185,23
30,0.158,0.171,24
30,0.147,0.158,25
30,0.136,0.147,26
30,0.126,0.136,27
30,0.117,0.126,28
30,0.108,0.117,29
30,0.1,0.108,30
30,0.093,0.1,31
30,0.086,0.093,32
30,0.079,0.086,33
30,0.074,0.079,34
30,0.068,0.074,35
30,0.063,0.068,36
30,0.058,0.063,37
30,0.054,0.058,38
30,0.0501,0.054,39
30,0.05,0.0501,40
30,0.04,0.05,41
30,0.03,0.04,42
30,0.02,0.03,43
30,0.01,0.02,44
30,0,0.01,45
31,0.928,1,1
31,0.862,0.928,2
31,0.8,0.862,3
31,0.743,0.8,4
31,0.69,0.743,5
31,0.64,0.69,6
31,0.595,0.64,7
31,0.552,0.595,8
31,0.512,0.552,9
31,0.476,0.512,10
31,0.442,0.476,11
31,0.41,0.442,12
31,0.381,0.41,13
31,0.353,0.381,14
31,0.328,0.353,15
31,0.305,0.328,16
31,0.283,0.305,17
31,0.263,0.283,18
31,0.244,0.263,19
31,0.226,0.244,20
31,0.21,0.226,21
31,0.195,0.21,22
31,0.181,0.195,23
31,0.168,0.181,24
31,0.156,0.168,25
31,0.145,0.156,26
31,0.135,0.145,27
31,0.125,0.135,28
31,0.116,0.125,29
31,0.108,0.116,30
31,0.1,0.108,31
31,0.093,0.1,32
31,0.086,0.093,33
31,0.08,0.086,34
31,0.074,0.08,35
31,0.069,0.074,36
31,0.064,0.069,37
31,0.059,0.064,38
31,0.055,0.059,39
31,0.051,0.055,40
31,0.05,0.051,41
31,0.04,0.05,42
31,0.03,0.04,43
31,0.02,0.03,44
31,0.01,0.02,45
31,0,0.01,46
32,0.931,1,1
32,0.866,0.931,2
32,0.806,0.866,3
32,0.75,0.806,4
32,0.698,0.75,5
32,0.649,0.698,6
32,0.604,0.649,7
32,0.562,0.604,8
32,0.523,0.562,9
32,0.487,0.523,10
32,0.453,0.487,11
32,0.422,0.453,12
32,0.392,0.422,13
32,0.365,0.392,14
32,0.34,0.365,15
32,0.316,0.34,16
32,0.294,0.316,17
32,0.274,0.294,18
32,0.255,0.274,19
32,0.237,0.255,20
32,0.221,0.237,21
32,0.205,0.221,22
32,0.191,0.205,23
32,0.178,0.191,24
32,0.165,0.178,25
32,0.154,0.165,26
32,0.143,0.154,27
32,0.133,0.143,28
32,0.124,0.133,29
32,0.115,0.124,30
32,0.107,0.115,31
32,0.1,0.107,32
32,0.093,0.1,33
32,0.087,0.093,34
32,0.081,0.087,35
32,0.075,0.081,36
32,0.07,0.075,37
32,0.065,0.07,38
32,0.06,0.065,39
32,0.056,0.06,40
32,0.052,0.056,41
32,0.05,0.052,42
32,0.04,0.05,43
32,0.03,0.04,44
32,0.02,0.03,45
32,0.01,0.02,46
32,0,0.01,47
33,0.933,1,1
33,0.87,0.933,2
33,0.811,0.87,3
33,0.756,0.811,4
33,0.705,0.756,5
33,0.658,0.705,6
33,0.614,0.658,7
33,0.572,0.614,8
33,0.534,0.572,9
33,0.498,0.534,10
33,0.464,0.498,11
33,0.433,0.464,12
33,0.404,0.433,13
33,0.376,0.404,14
33,0.351,0.376,15
33,0.327,0.351,16
33,0.305,0.327,17
33,0.285,0.305,18
33,0.266,0.285,19
33,0.248,0.266,20
33,0.231,0.248,21
33,0.215,0.231,22
33,0.201,0.215,23
33,0.187,0.201,24
33,0.175,0.187,25
33,0.163,0.175,26
33,0.152,0.163,27
33,0.142,0.152,28
33,0.132,0.142,29
33,0.123,0.132,30
33,0.115,0.123,31
33,0.107,0.115,32
33,0.1,0.107,33
33,0.093,0.1,34
33,0.087,0.093,35
33,0.081,0.087,36
33,0.076,0.081,37
33,0.071,0.076,38
33,0.066,0.071,39
33,0.061,0.066,40
33,0.057,0.061,41
33,0.053,0.057,42
33,0.05,0.053,43
33,0.04,0.05,44
33,0.03,0.04,45
33,0.02,0.03,46
33,0.01,0.02,47
33,0,0.01,48
34,0.935,1,1
34,0.873,0.935,2
34,0.816,0.873,3
34,0.763,0.816,4
34,0.713,0.763,5
34,0.666,0.713,6
34,0.622,0.666,7
34,0.582,0.622,8
34,0.544,0.582,9
34,0.508,0.544,10
34,0.475,0.508,11
34,0.444,0.475,12
34,0.415,0.444,13
34,0.387,0.415,14
34,0.362,0.387,15
34,0.338,0.362,16
34,0.316,0.338,17
34,0.296,0.316,18
34,0.276,0.296,19
34,0.258,0.276,20
34,0.241,0.258,21
34,0.225,0.241,22
34,0.211,0.225,23
34,0.197,0.211,24
34,0.184,0.197,25
34,0.172,0.184,26
34,0.161,0.172,27
34,0.15,0.161,28
34,0.14,0.15,29
34,0.131,0.14,30
34,0.123,0.131,31
34,0.115,0.123,32
34,0.107,0.115,33
34,0.1,0.107,34
34,0.093,0.1,35
34,0.087,0.093,36
34,0.082,0.087,37
34,0.076,0.082,38
34,0.071,0.076,39
34,0.067,0.071,40
34,0.062,0.067,41
34,0.058,0.062,42
34,0.054,0.058,43
34,0.051,0.054,44
34,0.05,0.051,45
34,0.04,0.05,46
34,0.03,0.04,47
34,0.02,0.03,48
34,0.01,0.02,49
34,0,0.01,50
35,0.936,1,1
35,0.877,0.936,2
35,0.821,0.877,3
35,0.769,0.821,4
35,0.72,0.769,5
35,0.674,0.72,6
35,0.631,0.674,7
35,0.591,0.631,8
35,0.553,0.591,9
35,0.518,0.553,10
35,0.485,0.518,11
35,0.454,0.485,12
35,0.425,0.454,13
35,0.398,0.425,14
35,0.373,0.398,15
35,0.349,0.373,16
35,0.327,0.349,17
35,0.306,0.327,18
35,0.287,0.306,19
35,0.268,0.287,20
35,0.251,0.268,21
35,0.235,0.251,22
35,0.22,0.235,23
35,0.206,0.22,24
35,0.193,0.206,25
35,0.181,0.193,26
35,0.169,0.181,27
35,0.158,0.169,28
35,0.148,0.158,29
35,0.139,0.148,30
35,0.13,0.139,31
35,0.122,0.13,32
35,0.114,0.122,33
35,0.107,0.114,34
35,0.1,0.107,35
35,0.094,0.1,36
35,0.088,0.094,37
35,0.082,0.088,38
35,0.077,0.082,39
35,0.072,0.077,40
35,0.067,0.072,41
35,0.063,0.067,42
35,0.059,0.063,43
35,0.055,0.059,44
35,0.052,0.055,45
35,0.05,0.052,46
35,0.04,0.05,47
35,0.03,0.04,48
35,0.02,0.03,49
35,0.01,0.02,50
35,0,0.01,51
36,0.938,1,1
36,0.88,0.938,2
36,0.825,0.88,3
36,0.774,0.825,4
36,0.726,0.774,5
36,0.681,0.726,6
36,0.639,0.681,7
36,0.599,0.639,8
36,0.562,0.599,9
36,0.527,0.562,10
36,0.495,0.527,11
36,0.464,0.495,12
36,0.435,0.464,13
36,0.408,0.435,14
36,0.383,0.408,15
36,0.359,0.383,16
36,0.337,0.359,17
36,0.316,0.337,18
36,0.297,0.316,19
36,0.278,0.297,20
36,0.261,0.278,21
36,0.245,0.261,22
36,0.23,0.245,23
36,0.215,0.23,24
36,0.202,0.215,25
36,0.19,0.202,26
36,0.178,0.19,27
36,0.167,0.178,28
36,0.156,0.167,29
36,0.147,0.156,30
36,0.138,0.147,31
36,0.129,0.138,32
36,0.121,0.129,33
36,0.114,0.121,34
36,0.107,0.114,35
36,0.1,0.107,36
36,0.094,0.1,37
36,0.088,0.094,38
36,0.083,0.088,39
36,0.077,0.083,40
36,0.073,0.077,41
36,0.068,0.073,42
36,0.064,0.068,43
36,0.06,0.064,44
36,0.056,0.06,45
36,0.053,0.056,46
36,0.05,0.053,47
36,0.04,0.05,48
36,0.03,0.04,49
36,0.02,0.03,50
36,0.01,0.02,51
36,0,0.01,52
37,0.94,1,1
37,0.883,0.94,2
37,0.83,0.883,3
37,0.78,0.83,4
37,0.733,0.78,5
37,0.688,0.733,6
37,0.647,0.688,7
37,0.608,0.647,8
37,0.571,0.608,9
37,0.537,0.571,10
37,0.504,0.537,11
37,0.474,0.504,12
37,0.445,0.474,13
37,0.418,0.445,14
37,0.393,0.418,15
37,0.369,0.393,16
37,0.347,0.369,17
37,0.326,0.347,18
37,0.307,0.326,19
37,0.288,0.307,20
37,0.271,0.288,21
37,0.254,0.271,22
37,0.239,0.254,23
37,0.225,0.239,24
37,0.211,0.225,25
37,0.198,0.211,26
37,0.186,0.198,27
37,0.175,0.186,28
37,0.164,0.175,29
37,0.155,0.164,30
37,0.145,0.155,31
37,0.136,0.145,32
37,0.128,0.136,33
37,0.121,0.128,34
37,0.113,0.121,35
37,0.106,0.113,36
37,0.1,0.106,37
37,0.094,0.1,38
37,0.088,0.094,39
37,0.083,0.088,40
37,0.078,0.083,41
37,0.073,0.078,42
37,0.069,0.073,43
37,0.065,0.069,44
37,0.061,0.065,45
37,0.057,0.061,46
37,0.054,0.057,47
37,0.0504,0.054,48
37,0.05,0.0504,49
37,0.04,0.05,50
37,0.03,0.04,51
37,0.02,0.03,52
37,0.01,0.02,53
37,0,0.01,54
38,0.941,1,1
38,0.886,0.941,2
38,0.834,0.886,3
38,0.785,0.834,4
38,0.739,0.785,5
38,0.695,0.739,6
38,0.654,0.695,7
38,0.616,0.654,8
38,0.58,0.616,9
38,0.546,0.58,10
38,0.513,0.546,11
38,0.483,0.513,12
38,0.455,0.483,13
38,0.428,0.455,14
38,0.403,0.428,15
38,0.379,0.403,16
38,0.357,0.379,17
38,0.336,0.357,18
38,0.316,0.336,19
38,0.298,0.316,20
38,0.28,0.298,21
38,0.264,0.28,22
38,0.248,0.264,23
38,0.234,0.248,24
38,0.22,0.234,25
38,0.207,0.22,26
38,0.195,0.207,27
38,0.183,0.195,28
38,0.172,0.183,29
38,0.162,0.172,30
38,0.153,0.162,31
38,0.144,0.153,32
38,0.135,0.144,33
38,0.127,0.135,34
38,0.12,0.127,35
38,0.113,0.12,36
38,0.106,0.113,37
38,0.1,0.106,38
38,0.094,0.1,39
38,0.089,0.094,40
38,0.083,0.089,41
38,0.078,0.083,42
38,0.074,0.078,43
38,0.07,0.074,44
38,0.065,0.07,45
38,0.062,0.065,46
38,0.058,0.062,47
38,0.055,0.058,48
38,0.051,0.055,49
38,0.05,0.051,50
38,0.04,0.05,51
38,0.03,0.04,52
38,0.02,0.03,53
38,0.01,0.02,54
38,0,0.01,55
39,0.943,1,1
39,0.889,0.943,2
39,0.838,0.889,3
39,0.79,0.838,4
39,0.744,0.79,5
39,0.702,0.744,6
39,0.661,0.702,7
39,0.624,0.661,8
39,0.588,0.624,9
39,0.554,0.588,10
39,0.522,0.554,11
39,0.492,0.522,12
39,0.464,0.492,13
39,0.438,0.464,14
39,0.412,0.438,15
